itemfield0,itemfield1,itemfield2,itemfield3,itemfield4,itemfield5,itemfield6,itemfield7,itemfield8,itemfield9,itemfield10,itemfield11,itemfield12,itemfield13,itemfield14,itemfield15,itemfield16,itemfield17,itemfield18,itemfield19,itemfield20,itemfield21,itemfield22,itemfield23,itemfield24,itemfield25,itemfield26,itemfield27,itemfield28,itemfield29,itemfield30,itemfield31,itemfield32,itemfield33,itemfield34,itemfield35,itemfield36
F00786,"Experimentum mundi","BLOCK, Ernst",Queriniana,NULL,NULL,1980,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes index and glossary ; Original title: Experimentum mundi : Frage, Kategorien des Herausbringens,  Praxis",NULL,NULL,"B 3209 .B77 E93",NULL,Brescia,"306p. ; 23cm.","la domanda centrale ; le categorie del protar-fuori ; la prassi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00787,"From magic to metaphor","WORGUL, George S.","Paulist Press",NULL,NULL,1980,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 1236 .W6",0-8091-2280-4,"New York","xv, 232p. ; 22cm.","a validation of christian sacraments",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00789,"A viewer's guide to looking at photographs","BROOKE, James T.","The Aurelian Press",NULL,NULL,1977,NEW,"Art and photography",NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"N 72 .P5",0-91884-02-9,"Wilmette, Ill.","77p. ; ilus. ; 21cm.","the art of analyzing, understanding, and judging photographs",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00790,"Problemi e prospettive di Teologia Morale",NULL,Queriniana,NULL,NULL,1976,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 1722 .P7",NULL,Brescia,"viii, 470p. ; 24cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00791,"Storia della Passione","MOLTMANN, Jurgen ; METZ, Johann Baptist",Queriniana,NULL,NULL,1974,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Contents: Jurgen Moltmann : La Passione del Figlio dell'Uomo e l'invito  alla sequela. - Johann Baptist Metz : Storia messianica in quanto storia della  passione",NULL,NULL,"BQT 2587 .M6",NULL,Brescia,"56(1)p. ; 21cm.","due meditazioni su Marco 8, 31-38",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00792,"Sulla Teologia della Croce","MOLTMANN, Jurgen et al.",Queriniana,NULL,NULL,1974,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 931 .S8 ; BQT 1117 .S8",NULL,Brescia,"171(3)p. ; 20cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00793,"Una Teologia per la prassi","NIEBUHR, Reinhold",Queriniana,NULL,NULL,1977,NEW,"Protestantism. Biography",NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BX 4827 .N5R8 ; BQT 135 .N5",NULL,Brescia,"76(2)p. ;19cm","autobiografia intellettuale",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00794,"LA NUOVA FRONTIERA DELLA TEOLOGIA IN AMERICA LATINA",NULL,Queriniana,NULL,NULL,1975,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography OK 7-Oct-1996 RESP a cura di Rosino Gibellini, Gustavo Gutierrez et al.. ; bibliografia di testi di teologia della liberazione a cura di Raul Vidales",NULL,NULL,"BQT 3418 .N8",NULL,Brescia,"451(3)p. ; 20cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00795,"Ecologia e liberazione umana","SIEGER DERR, Thomas",Queriniana,NULL,NULL,1974,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 3430 .S5 ; BQT 3418 .S5",NULL,Brescia,"215(3)p. ; 20cm.","critica teologica dell'uso e abuso del nostro diritto di primogenitura",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00796,"DIO IN PUBBLICO",NULL,Queriniana,NULL,NULL,1978,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQV 296 .D5",NULL,Brescia,"366(3)p. ; 20cm. SER Giornale di teologia/diretto da Rosino Gibellini, 107 OK 29-Oct-1997 RESP a cura di Giovanni Bianchi ; Ernesto Balducci et al ; bibliografia a cura di Renzo Salvi","IL DIBATITO SU FEDE E POLITICA IN ITALIA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00797,"Wolfgang Amadeus Mozart","BARTH, Karl",Queriniana,NULL,NULL,1980,NEW,"Music. Biography. Mozart, W.A.",NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"ML 410 .M9B3",NULL,Brescia,"48(4)p. ; 21cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00798,"La Risposta dei teologi","CONGAR, Yves ; DANIELOU, Jean ; METZ, Johann Baptist ; RAHNER, Karl ; SCHILLEBEECKS, Edward ; SCHOONENBERG, Piet",Queriniana,NULL,NULL,1969,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 5 .R5",NULL,Brescia,"211p. ; 20cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00799,"The Marks of the Cross","HARRISON, Ted","Darton, Longman & Todd",NULL,NULL,1981,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 2485 .H3",0-232-51513-1,London,", 86p. ; 21cm.","the story of Ethel Chapman and the stigmata",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00800,"Fundamental theology","O'COLLINS, Gerald","Darton, Longman & Todd",NULL,NULL,1981,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes notes and index",NULL,NULL,"BQT 217 .O28",0-232-51522-0,London,"283p. ; 23cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00801,"Sight, Sound, motion","ZETTL, Herbert.","Wadsworth Pub. co.",NULL,NULL,1973.,NEW,Photography,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography and index.",NULL,NULL,"TR 850. Z47.",0-534-00238-2,"Belmont, California.","401p. ; illus ; 23cm.","applied media aesthetics.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00802,"Charles Darwin and the problem of creation","GILLESPIE, Neal C.","University of Chicago Press",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes notes, bibliography and index",NULL,NULL,"BQT 622 .G5 ; QH 31 .D2G55",0-226-29374-2,Chicago,"xiii, 201p. ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00803,"Christianity, social tolerance and homosexuality","BOSWELL, John","University of Chicago Press",NULL,NULL,1980,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:36,NULL,"Includes appendixes, bibliography and indexes",NULL,NULL,"HQ 76 .3 .B6",0-226-06710-6,Chicago,"xviii, 424p. ; 25cm.","gay people in Western Europe from the beginning of the christian era to the  fourteenth century",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00804,"The Holy Spirit","GRAHAM, Billy",Collins,NULL,NULL,1978,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes notes",NULL,NULL,"BQT 589 .G7 ; BQT 1215 .G7",0-00-215314-9,London,"224p. ; 22cm.","activating God's power in your life",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00805,"Theology and political society","DAVIS, Charles","Cambridge University Press",NULL,NULL,1980,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes notes, bibliography and index ; Note: The Helsean Lectures in the University of Cambridge",NULL,NULL,"BQT 3418 .D3",0-521-22538-8,Cambridge,"ix, 196p. ; 23cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00806,"Il Linguaggio della liberazione","MOLTMANN, Jurgen",Queriniana,NULL,NULL,1973,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 511 .M6",NULL,Brescia,"158p. ; 21cm.","prediche e meditazioni",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00807,"Linguaggio e azione","FRIGGIERI, Joe","Vita e Pensiero",NULL,NULL,1981,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography",NULL,NULL,"B 1618 .A84 F75",NULL,Milano,"197p. ; 20cm.","saggio su J.L. Austin",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00808,"A Pastoral Guide to the Bible",NULL,"Gill & Macmillan",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BS 587 .P3",0-7171-0974-7,Dublin,"142p. ; 21cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00809,"The Gospel of Luke","MARSHALL, I. Howard","The Paternoster Press",NULL,NULL,1978,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes indexes",NULL,NULL,"BS 2595 .3 .M37",0-85364-203-6,Exeter,"928p. ; 24cm.","a commentary on the Greek text",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00810,Induismo,"ACHARUPARAMBIL, Daniel","Edizioni dei PP Carmelitani Scalzi, 'Teresianum'",NULL,NULL,1976,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography",NULL,NULL,"BL 1202 .A23",NULL,Roma,"331p. ; 24cm.","vita e pensiero",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00811,"Le Grandi religioni storiche","BIANCHI, Ugo","Pontificia Universita' Urbaniana",NULL,NULL,1976,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BL 80 .2 .B5",NULL,Roma,"131p. ; 24cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00812,"La persona umana","MERCATALI, Andrea","Edizioni Antonianum",NULL,NULL,1980,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography",NULL,NULL,"BQT 631 .M4",NULL,Roma,"198p. ; 24cm.","principi teorici e aspetti metodologi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00813,"Antropologia teologica","MONDIN, Battista","Edizioni Paoline",NULL,NULL,1977,NEW,"Anthropology - Dogmatic",NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 618 .M6",NULL,Alba,"335p. ; 22cm.","storia, problemi, prospettive",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00814,"Le Teologie del nostro tempo","MONDIN, Battista","Edizioni Paoline",NULL,NULL,1976,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Included index",NULL,NULL,"BQT 128 .M6",NULL,Alba,"214(6)p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00815,"Audiovisual script writing","PARKER, Norton S.","Rutgers University Press",NULL,NULL,1968,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"PN 1996 .P29",0-8135-0797-9,"New Brunswick, New Jersey","vi, 330p. ; ill. ; 24cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00816,"Free to love","MOLONEY, Francis J.","Darton, Longman & Todd",NULL,NULL,1981,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 2311 .M6",0-232-51518-2,London,"xiv, 96p. ; 22cm.","poverty, chastity, obedience",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00817,"Rediscovering pastoral care","CAMPBELL, Alastair V.","Darton, Longman & Todd",NULL,NULL,1981,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes notes and references andindex",NULL,NULL,"BQT 2917 .C3",0-232-51472-0,London,"xii, 124p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00818,"Lavoro e liberazione",NULL,"Istituto Padano di Arti Grafiche",NULL,NULL,1978,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes index",NULL,NULL,"BQT 3440 .C6 ; BQT 3418 .C6",NULL,Rovigo,"275p. ; 22cm.","saggio filosofico sulle dimensioni del lavoro umano",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00819,"Healing prayer","SHLEMON, Barbara Leahy","Servant Publications",NULL,NULL,NULL,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 1219 .S5",NULL,"Bombay, India","85p. ; 18cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00820,"Good news today","IRAGUI, Marcelino","Kerala Service Team of Charismatic Renewal",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 1219 .I7",NULL,Trichur,"67p. ; 18cm.","guide-lines for charismatic retreats and life in the spirit seminars",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00821,"The power in penance","SCANLAN, Michael","Ave Maria Press",NULL,NULL,1972,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 1369 .S25",NULL,"Notre Dame, Ind.","62p. ; 18cm.","confession and the Holy Spirit",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00822,"Good news to the poor",NULL,"Servant Publications",NULL,NULL,NULL,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 1219 .G6 ; BQT 3668 .G6",NULL,"Bombay, India","iii, 101p. ; 18cm.","charismatic concern for the down trodden",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00823,Healing,"MACNUTT, Francis","Servant Publications",NULL,NULL,1978,NEW,"Faith healing",NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"First published 1974",NULL,NULL,"BQT 1219 .M3",0-87793-074-0,"Bombay, India","333p. ; ill. ; 20cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00824,"The power to heal","MACNUTT, Francis","Servant Publications",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"First published 1977",NULL,NULL,"BQT 1219 .M3",0-87793-133-X,"Bombay, India","254p. ; ill. ; 21cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00825,"To heal as Jesus healed","SHLEMON, Barbara Leahy ; LINN, Dennis ; LINN, Matthew","Servant Publications",NULL,NULL,1978,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 1219 .S5",NULL,"Bombay, India","107p. ; 20cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00826,"La Riforma in Germania","LORTZ, Joseph",JacaBook,NULL,NULL,1971,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliogrpahies and indexes ; Note: v.1. Premesse, inizio, primi risultati. - v.2. Costituzione dei fronti,  tentativi di unione. Divisione definitiva. ; Original title: Die Reformation in Deutschland",NULL,NULL,"BQX 1921 .L6",NULL,Milano,"2v. ; 24cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00827,"Spiritualita dei laici","DE ROSA, P. Giuseppe S.J....et al.",Sales,NULL,NULL,1966,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography",NULL,NULL,"BQT 2271 .S6",NULL,Roma,"150(5)p. ; 21cm.","contributi di studio",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00828,"Liturgy and doctrine","DAVIS, Charles","Sheed & Ward",NULL,NULL,1960,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 4047 .D3",NULL,London,"100p. ; 18cm.","the doctrinal basis of the liturgical movement",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00829,"Theology of the world","METZ, Johannes B.","Burns, Oates & Washbourne",NULL,NULL,1969,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Original title: Zur Theologie der Welt, Munich 1968",NULL,NULL,"BQT 3418 .M4 ; BQ 616 .M4",223-97621-0,London,"155p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00830,"La storia della salvezza nella lettera ai Romani","LYONNET, Stanislao.","M. D'Auria ",NULL,NULL,1966,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes Index.",NULL,NULL,"BS 2655 .S25L9",NULL,Napoli,"270p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00831,"La Spiritualita' dei laici dopo il Concilio","BRUGNOLI, Pietro",Morcelliana,NULL,NULL,1967,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography and indexes",NULL,NULL,"BQT 2271 .B7",NULL,Brescia,"393p. ; 23cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00832,"Talking with unbelievers",NULL,"The Month",NULL,NULL,1971,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 242 .T3",NULL,"Douglas, Isle of Man","149p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00833,"La Missione dei laici nel mondo di oggi","BRUGNOLI, Pietro",Morcelliana,NULL,NULL,1966,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes indexes",NULL,NULL,"BQT 2003 .B7 ; BQT 3525 .B7",NULL,Brescia,"284p. ; 23cm.","dimensione teologiche e urgenze pastorali del messaggio conciliare",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00834,"St. Therese of Lisieux by those who knew her",NULL,"Veritas Publications",NULL,NULL,1975,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes notes",NULL,NULL,"BQT 2430 .T5 O4",0-901810-84-3,Dublin,"287p. ; 21cm.","testimonies from the process of beatification",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00835,"Soul friend","LEACH, Kenneth","Sheldon Press",NULL,NULL,1977,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes appendix, notes, bibliography and index",NULL,NULL,"BQT 2236 .L4",0-85969113-6,London,"250p. ; 22cm.","a study of spirituality",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00836,"Jesus Christliberator","BOFF, Leonardo",SPCK,NULL,NULL,1980,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes notes",NULL,NULL,"BQT 1117 .B6",0-281-03741-8,London,"xii, 323p. ; 22cm.","a critical christology for our time",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00837,"Is it the same Church?","SHEED, F.J.","Sheed & Ward",NULL,NULL,1969,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes apendix and index",NULL,NULL,"BQT 378 .S45",7-220-0577-6,London,"xv, 222p. ; 18cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00838,"Perche' la teologia","COLOMBO, Giuseppe","Editrice La Scuola",NULL,NULL,1980,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes appendixes",NULL,NULL,"BQT 11 .C4",NULL,Brescia,"123p. ; 20cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00839,"Television as a social force","Douglass Cater - editor ; Richard Adler - project editor","Praeger Publishers",NULL,NULL,1975,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes appendix and index",NULL,NULL,"PN 1992 .8 .C7A6",0-275-01190-9,"New York","171p. ; 24cm. ","new approaches to TV criticism",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00840,"Television as a cultural force","Richard Adler - project editor ; Douglass Cater - editor","Praeger Publishers",NULL,NULL,1976,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography, appendix and index",NULL,NULL,"PN 1992 .3 .U5T38",0-275-23180-1,"New York","191(9)p. ; ill. ; 24cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00841,"Mass Communication Research","edited by W. Phillips Davison and Frederick T.C. Yu.","Praeger Publishers",NULL,NULL,1974,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography and index",NULL,NULL,"P 91 .D37",0-275-88870-3,"New York","ix, 246(3)p. : ill. ; 24cm.","major issues and future directions",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00842,"Living with fear","MARKS, Isaac M.",McGraw-Hill,NULL,NULL,1978,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes notes and index",NULL,NULL,"BF 575 .F2 M37",0-07-040395-3,"New York","xiii, 302p. ; ill. ; 24cm.","understanding and coping with anxiety",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00843,"Mass communication","WRIGHT, Charles R.","Random House",NULL,NULL,1975,NEW,"Mass media - Social aspects",NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"HM 258 .W74",0-394-31883-8,"New York","xii,179p. ; ill. ; 21cm.","a sociological perspective",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00844,"Children and television","LESSER, Gerald S. ; foreword by Joan Ganz Cooney ; introduction by Lloyd Morrisett","Vintage Books",NULL,NULL,1974,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes references and index",NULL,NULL,"PN 1992 .77 .S43L4",0-394-71448-2,"New York","xxviii, 290p. ; ill. ; 19cm.","lessons from Sesame Stret",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00845,"A Thousand reasons for living","CAMARA, Dom Helder","Darton, Longman & Todd",NULL,NULL,1981,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 2511 .C3","0-232-51521-2 OK 6-Nov-1995 RESP edited by Jose' de Broucker ; translated by Alan Neame",London,"118p. ; 20cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00846,"The passionate God","HAUGHTON, Rosemary","Darton, Longman & Todd",NULL,NULL,1981,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography and index",NULL,NULL,"BQT 731 .H3",0-232-51515-8,London,"344p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00847,"Art and visual perception","ARNHEIM, Rudolf","University of California Press",NULL,NULL,1974,NEW,"Theories of the visual arts",NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes notes, bibliography and index",NULL,NULL,"N 70 .A68",0-520-02613-6,Berkeley,"x, 508p. ; ill. ; 23cm.","a psychology of the creative eye ; the new version",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00848,"A primer of visual literacy","DONDIS, Donis A.","MIT Press",NULL,NULL,1973,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography and index",NULL,NULL,"N 7433 .D66",0-262-54029-0,"Cambridge, Mass.","xi, 194p. ; ill. ; 23cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00849,"What is cinema?","BAZIN, Andre ; essays selected and translated by Hugh Gray","University of California Press",NULL,NULL,1967,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography and index",NULL,NULL,"PN 1994 .B3513",0-520-00092-7,Berkeley,"2v. ; 21cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00850,"The twenty-fifth anniversary of the academy of Catholic theology in Warsaw",NULL,"Academy of Catholic Theology",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:36,NULL,NULL,NULL,NULL,"BQX 2782 .A28",NULL,Warsaw,"200p. : ill. ; 21cm.",(1954-1979),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
